id,name,category,expected_direction,main_horizon,test_status,n_events,ret_T1_mean,ret_T5_mean,ret_T20_mean,n_labeled,mean,std,win_rate,t_stat,p_value,effect_size,fdr_passed,q_value
A1,RSI<30 진입,single,positive,5,measurement_only,8164,0.0035862099889605674,0.009782185470897577,0.020663468604512115,8155,0.009782185470897577,0.08467317488669866,0.542489270386266,10.43282760934396,1.2667159570918966e-25,0.11552874312303912,False,
A2,RSI>70 진입,single,negative,5,measurement_only,7820,-0.005355723966463712,-0.0035570841627171872,-0.002028088735974814,7817,-0.0035570841627171872,0.1341730105489796,0.40680567992836125,-2.3439537195038525,0.009552725843718492,-0.02651117499833307,False,
A3,MFI<20 진입,single,positive,5,measurement_only,8582,-0.0005576406553619793,0.001918394019346339,0.010414779562907673,8545,0.001918394019346339,0.07742561409844213,0.4679929783499122,2.2903886702970517,0.01101152155068293,0.02477725287276654,False,
A4,MFI>80 진입,single,negative,5,measurement_only,14182,-0.003499038688692073,-0.0013610925852530242,0.0008564786880586376,14149,-0.0013610925852530242,0.11744801994178058,0.422998091737932,-1.3784938789415837,0.0840363263903814,-0.011588893417936912,False,
A5,MACD 골든크로스,single,positive,5,measurement_only,23119,-0.0009868490848855944,-0.0016905824742719866,0.008892998877987758,23091,-0.0016905824742719866,0.08817422166766689,0.4261833614828288,-2.9135072180153725,0.9982113186132656,-0.01917320552761869,False,
A6,MACD 데드크로스,single,negative,5,measurement_only,22338,0.00046665238504801253,0.0041934059189731,0.0029224576416721527,22314,0.0041934059189731,0.08220111046339862,0.47925069463117326,7.620402901733264,0.9999999999999869,0.051013981384597985,False,
A7,SMA20 상향 돌파,single,positive,5,measurement_only,34495,-0.0008366073741076993,-0.0003843660132740028,0.0054462083608424056,34467,-0.0003843660132740028,0.08940343863442941,0.4307888705138248,-0.7981646664007371,0.7876097809049454,-0.0042992307582896796,False,
A8,SMA20 하향 돌파,single,negative,5,measurement_only,33495,0.00015801316466573407,0.0040538265358591756,0.003776679924717676,33478,0.0040538265358591756,0.08270573275040817,0.4698010633849095,8.968282911869851,1.0,0.049015061000583046,False,
A9,볼린저 하단 터치,single,positive,5,measurement_only,16823,0.0026313372207459915,0.01055457399364659,0.015335915642249386,16817,0.01055457399364659,0.08090062082290203,0.5415353511327823,16.918549120754076,5.522444572104818e-64,0.13046344868911947,False,
A10,볼린저 상단 터치,single,negative,5,measurement_only,16822,-0.004664380268085975,-0.0041387325550797625,-0.00249577657950138,16815,-0.0041387325550797625,0.11587349487983392,0.4024382991376747,-4.63160690826478,1.8277829899210534e-06,-0.0357176812468789,False,
